Bond_id,Coupon,Yield
1,2.853,2.8328
2,2.75,2.9605
3,4.625,4.5983
4,5,4.9705
5,5,4.97
6,2.75,2.9382
7,2.044,2.2738
8,2.719,2.8782
9,4.875,4.703
10,5.125,4.9707
11,1.625,2.065
12,7.75,2.486
13,7.75,2.486
14,3.95,3.95
15,3.95,3.9496
16,2.875,3.1938
17,3.115,3.288
18,4.125,4.0867
19,4.125,4.087
20,3.966,4.203
21,10.5,9.726
22,4.625,4.4782
23,4.625,4.478
24,5.875,5.139
25,5.875,5.1392
26,3.375,2.884
27,6.5,4.2404
28,2.852,2.7722
29,4,4.0746
30,4,4.105
31,5.875,6.9744
32,5.875,6.974
33,4,3.8667
34,5.25,4.4666
35,5.25,4.467
36,0.5,0.52
37,3.154,2.8262
37,3.154,2.8262
38,3.121,2.8563
39,4.125,4.2798
40,4.125,4.28
41,3,3.0146
42,3.099,2.843
43,2.4,2.4336
44,6.25,5.1833
45,6.25,5.183
46,4.75,4.3832
47,4.75,4.384
48,7.5,6.1108
49,7.5,6.111
50,7.25,6.1531
51,7.25,6.153
52,4.75,3.162
53,3.468,2.958
54,4.25,3.5744
55,4.25,3.574
56,2.3,2.3208
57,3.625,3.5021
58,3.625,3.502
59,3,2.743
60,3.125,3.2111
61,3.75,.
62,2.8,2.7398
63,8.25,6.3187
64,8.25,6.319
65,6,6.1631
66,6,6.163
67,1.208,1.6325
68,2.719,2.8508
69,3.875,3.7763
70,7,6.795
71,3.875,4.074
72,2.498,2.6549
73,2.632,2.8119
74,2.5,2.8079
75,4.2,3.2361
76,7,3.233
77,7,2.1493
78,7.1,2.1493
79,7.2,1.8609
80,3.129,3.0786
81,4.5,4.499
82,4.5,4.499
83,5.5,4.1553
84,5.5,4.155
85,2.888,2.643
86,4,3.3588
87,4,3.359
88,4.25,3.8439
89,2.095,2.243
90,3.205,3.0039
91,1.65,1.8609
92,3.327,2.9618
93,3.477,2.9887
94,2.68,2.9076
95,4.75,4.331
96,4.75,4.331
97,7.875,4.1958
98,7.875,4.196
99,1.75,1.8155
100,4.75,4.2088
101,4.75,4.209
102,7.25,5.049
103,2,2.4052
104,4.5,3.75
105,4.75,4.078
106,2.547,2.7727
107,3.5,3.6355
108,3.5,3.635
109,2.928,3.0038
110,5.5,4.93
111,4,3.557
112,1.651,2.0364
113,2.256,2.675
114,2.606,2.894
115,4.75,4.0423
116,4.75,3.973
117,4.625,2.942
118,3.414,3.3989
119,2.667,2.958
120,3.15,2.8499
121,2.328,2.8927
122,2,2.7122
123,4.75,4.0214
124,5.75,3.9783
125,5.75,3.967
126,1.7,.
127,6.125,4.4291
128,6.125,4.429
129,0.947,1.3556
130,2.345,2.8016
131,3.215,2.993
132,2.803,2.9063
133,8.5,4.4
134,8.5,4.4
135,5.25,3.173
136,5.7,3.053
137,9.75,7.1218
138,9.75,7.12
139,6.25,3.3662
140,6.25,3.366
141,2.585,2.8042
142,2.894,2.833
143,5.5,3.1477
144,5.5,3.146
145,1.75,2.285
146,2.415,2.6351
147,8.25,3.1128
148,3.375,2.3735
149,1.637,1.947
150,5.7,4.0844
151,3.224,2.9425
152,10.75,6.2801
153,10.75,6.274
154,1.289,1.228
155,3.173,2.9102
156,1.7,1.9044
157,2.65,2.7461
158,2.64,2.5858
159,1.914,1.917
160,2.757,2.633
161,2.55,2.1891
162,3.665,2.9571
163,3.875,2.5143
164,3.949,3.253
165,2.294,2.6123
166,2.211,2.0327
167,3.922,2.1436
168,4.375,3.351
169,4.375,3.3511
170,4.7,1.7705
171,4.8,2.5703
172,5.45,3.6161
173,6.6,3.2122
174,3.31,2.0862
175,8.5,3.9149
176,5,3.0753
177,4.125,2.7867
178,7.25,4.9108
179,2.761,2.6649
180,1.972,1.937
181,2.598,2.723
182,2.5,2.3752
183,3.55,3.1032
184,3.112,2.9374
185,3.112,2.937
186,3.1,2.4208
187,4.875,4.002
188,4.875,4.002
189,5,4.1831
190,5,4.183
191,3.5,2.5324
192,3.05,3.1547
193,4.287,4.0075
194,4.5,3.75
195,4.75,4.078
196,2.805,2.6917
197,10.5,9.775
198,9.375,6.4734
199,9.375,6.469
